2026-04-26T17:02:34.788612     | INCOMING   | TYPE: event.ai.suggestions.generated - {'user-id': '71450258242', 'userId': '71450258242', 'bot-id': '71788504742', 'botId': '71788504742', 'message-id': 2428417459, 'messageId': 2428417459, 'suggestions': [], 'disabled': True}
2026-04-26T17:02:34.805473     | INCOMING   | TYPE: message:delivery - {'id': 2428417459, 'status': 1, 'tag': '71450258242_1777266644087'}
2026-04-26T17:02:34.821246     | INCOMING   | TYPE: message:delivery - {'id': 0, 'status': 1, 'tag': '71450258242_1777266644087'}
2026-04-26T17:02:34.834231     | INCOMING   | TYPE: message:message:v2 - {'id': 2428417459, 'sender': '71450258242', 'recipient': '71788504742', 'type': 1, 'timestamp': 1777240954, 'text': 'how do you spawn?', 'tag': '71450258242_1777266644087', 'initial': True, 'status': 1, 'source': None, 'favorite': True, 'auto': False, 'meta': {'automation': {}, 'ranking': {'labels': [], 'version': 'emote_sexting_classifier@2.0.0'}, 'tariffication': {'paid': True, 'type': 'purchase', 'reason': 'dialogs.tariffication.message'}}}
2026-04-26T17:02:34.847245     | INCOMING   | TYPE: event.users.experience.updated..ai - {'user-id': '71450258242', 'userId': '71450258242', 'current': {'current-points': 4950, 'currentPoints': 4950, 'next-level-points': 6000, 'nextLevelPoints': 6000, 'level': 10}, 'changes': {'experience-changed': 5, 'experienceChanged': 5, 'level-changed': 0, 'levelChanged': 0, 'reason': {'message-tag': '71450258242_1777266644087', 'messageTag': '71450258242_1777266644087'}}}
2026-04-26T17:02:34.863522     | INCOMING   | TYPE: event.bot.typing.started - {'bot-id': 71788504742, 'botId': 71788504742, 'typing-indicators': [{'delay-before': 0, 'delayBefore': 0, 'duration': 2862}], 'typingIndicators': [{'delay-before': 0, 'delayBefore': 0, 'duration': 2862}]}
2026-04-26T17:02:34.875711     | INCOMING   | TYPE: added:event - {'title': None, 'event-id': 10001649232031, 'eventId': 10001649232031, 'holder-id': '71450258242', 'holderId': '71450258242', 'user-id': '71788504742', 'userId': '71788504742', 'type': 'message', 'stale': True, 'silent': False, 'stack': 0, 'fresh': 0, 'total': 67, 'timestamp': '2026-04-26T22:02:34.433Z', 'expiration': None, 'expiration-seconds': None, 'expirationSeconds': None, 'ttl': None, 'show-expiration-from': None, 'showExpirationFrom': None, 'payload': {'ranking': {'labels': [], 'version': 'emote_sexting_classifier@2.0.0'}, 'tariffication': {'paid': True, 'type': 'purchase', 'reason': 'dialogs.tariffication.message'}}, 'system': False}
2026-04-26T17:02:37.669269     | INCOMING   | TYPE: event.dialogs.media.generation.initiated - {'user-id': '71450258242', 'userId': '71450258242', 'channel-id': None, 'channelId': None, 'bot-id': '71788504742', 'botId': '71788504742', 'tag': '8dea3df85688ef2', 'media-type': 'photo', 'mediaType': 'photo', 'media-roleplay': '*chuckles* Oh, my curious little mortal *sends a photo of myself chuckles*', 'mediaRoleplay': '*chuckles* Oh, my curious little mortal *sends a photo of myself chuckles*', 'response-strategy': 'fixedMessage', 'responseStrategy': 'fixedMessage'}
2026-04-26T17:02:37.683956     | INCOMING   | TYPE: message:message:v2 - {'id': 2428417500, 'sender': '71788504742', 'recipient': '71450258242', 'type': 1, 'timestamp': 1777240957, 'text': '**chuckles* Oh, my curious little mortal *sends a photo of myself chuckles**', 'tag': '8dea3df85688ef2', 'initial': True, 'status': 1, 'source': None, 'favorite': True, 'auto': True, 'meta': {'media-type': 'photo', 'mediaType': 'photo', 'message-type': 'generationInitiated', 'messageType': 'generationInitiated', 'automation': {'type': 'GenerationInChat'}, 'auto': True, 'tariffication': {'paid': True, 'type': 'free', 'reason': 'dialogs.tariffication.message'}, 'type': 'generationInitiated', 'media-selling': False, 'mediaSelling': False}}
2026-04-26T17:02:37.704529     | INCOMING   | TYPE: event.ai.suggestions.generated - {'user-id': '71450258242', 'userId': '71450258242', 'bot-id': '71788504742', 'botId': '71788504742', 'message-id': 2428417500, 'messageId': 2428417500, 'suggestions': [], 'disabled': True}
2026-04-26T17:02:37.720993     | INCOMING   | TYPE: added:event - {'title': None, 'event-id': 10001649232031, 'eventId': 10001649232031, 'holder-id': '71450258242', 'holderId': '71450258242', 'user-id': '71788504742', 'userId': '71788504742', 'type': 'message', 'stale': False, 'silent': False, 'stack': 1, 'fresh': 1, 'total': 68, 'timestamp': '2026-04-26T22:02:37.573Z', 'expiration': None, 'expiration-seconds': None, 'expirationSeconds': None, 'ttl': None, 'show-expiration-from': None, 'showExpirationFrom': None, 'payload': {'auto': True, 'automation': {'type': 'GenerationInChat'}, 'message-type': 'generationInitiated', 'messageType': 'generationInitiated', 'media-type': 'photo', 'mediaType': 'photo', 'tariffication': {'paid': True, 'type': 'free', 'reason': 'dialogs.tariffication.message'}, 'type': 'generationInitiated', 'media-selling': False, 'mediaSelling': False}, 'system': False}
2026-04-26T17:02:38.128712     | INCOMING   | TYPE: message:read - {'attendee': '71788504742'}
2026-04-26T17:02:38.142460     | INCOMING   | TYPE: staled:event - {'event-id': 10001649232031, 'eventId': 10001649232031, 'holder-id': '71450258242', 'holderId': '71450258242', 'user-id': '71788504742', 'userId': '71788504742', 'type': 'message', 'stack': 0}
2026-04-26T17:02:45.001543     | INCOMING   | TYPE: event.dialogs.messages.message.updated - {'id': 2428417500, 'text': '*chuckles* Oh, my curious little mortal', 'tag': '8dea3df85688ef2', 'timestamp': '2026-04-26T22:02:37.573', 'sender-id': '71788504742', 'senderId': '71788504742', 'recipient-id': '71450258242', 'recipientId': '71450258242', 'sent': True, 'received': True, 'agent': 'automation.manager', 'meta': {'ranking': {'labels': []}, 'automation': {'product': 'bot', 'bot': 'saturnBot', 'bot-version': '2.0.0', 'botVersion': '2.0.0', 'need-verification': False, 'needVerification': False, 'type': 'BotAnswers'}, 'reference': 'photo-ai:/dialogs/messages/{userId}/{botId}/{messageId}/file', 'media-id': 'generated-5dab0571-7388c4478308', 'mediaId': 'generated-5dab0571-7388c4478308', 'media-rating': 'xx', 'mediaRating': 'xx', 'media-type': 'photo', 'mediaType': 'photo', 'tariffication': {'paid': False, 'cost': 60, 'type': 'subscription_then_purchase', 'reason': 'dialogs.tariffication.reference'}, 'type': 'mediaSelling', 'preview': 'photo-ai:/dialogs/messages/{userId}/{botId}/{messageId}/preview', 'media-selling': True, 'mediaSelling': True, 'media-description': 'sends a photo of A voluptuous succubus leaning back on a velvet chaise lounge with a seductive expression, one hand resting on her thigh while the other trails down her side.', 'mediaDescription': 'sends a photo of A voluptuous succubus leaning back on a velvet chaise lounge with a seductive expression, one hand resting on her thigh while the other trails down her side.', 'edited': True}, 'user-id': '71450258242', 'userId': '71450258242', 'is-last': True, 'isLast': True, 'last-message': {'id': 2428417500, 'text': '*chuckles* Oh, my curious little mortal', 'tag': '8dea3df85688ef2', 'timestamp': '2026-04-26T22:02:37.573', 'sender-id': 420717885047, 'senderId': 420717885047, 'recipient-id': 420714502582, 'recipientId': 420714502582, 'operator-id': None, 'operatorId': None, 'sent': True, 'received': None, 'seen': '2026-04-26T22:02:38.087', 'agent': None, 'meta': {'ranking': {'labels': []}, 'automation': {'product': 'bot', 'bot': 'saturnBot', 'bot-version': '2.0.0', 'botVersion': '2.0.0', 'need-verification': False, 'needVerification': False, 'type': 'BotAnswers'}, 'reference': 'photo-ai:/dialogs/messages/{userId}/{botId}/{messageId}/file', 'media-id': 'generated-5dab0571-7388c4478308', 'mediaId': 'generated-5dab0571-7388c4478308', 'media-rating': 'xx', 'mediaRating': 'xx', 'media-type': 'photo', 'mediaType': 'photo', 'tariffication': {'paid': False, 'cost': 60, 'type': 'subscription_then_purchase', 'reason': 'dialogs.tariffication.reference'}, 'type': 'mediaSelling', 'preview': 'photo-ai:/dialogs/messages/{userId}/{botId}/{messageId}/preview', 'media-selling': True, 'mediaSelling': True, 'media-description': 'sends a photo of A voluptuous succubus leaning back on a velvet chaise lounge with a seductive expression, one hand resting on her thigh while the other trails down her side.', 'mediaDescription': 'sends a photo of A voluptuous succubus leaning back on a velvet chaise lounge with a seductive expression, one hand resting on her thigh while the other trails down her side.', 'edited': True}, 'reply': False, 'auto': False, 'delivered': None, 'reactions': None, 'expiration': None, 'deleted-sent-date': None, 'deletedSentDate': None, 'deleted-received-date': None, 'deletedReceivedDate': None}, 'lastMessage': {'id': 2428417500, 'text': '*chuckles* Oh, my curious little mortal', 'tag': '8dea3df85688ef2', 'timestamp': '2026-04-26T22:02:37.573', 'sender-id': 420717885047, 'senderId': 420717885047, 'recipient-id': 420714502582, 'recipientId': 420714502582, 'operator-id': None, 'operatorId': None, 'sent': True, 'received': None, 'seen': '2026-04-26T22:02:38.087', 'agent': None, 'meta': {'ranking': {'labels': []}, 'automation': {'product': 'bot', 'bot': 'saturnBot', 'bot-version': '2.0.0', 'botVersion': '2.0.0', 'need-verification': False, 'needVerification': False, 'type': 'BotAnswers'}, 'reference': 'photo-ai:/dialogs/messages/{userId}/{botId}/{messageId}/file', 'media-id': 'generated-5dab0571-7388c4478308', 'mediaId': 'generated-5dab0571-7388c4478308', 'media-rating': 'xx', 'mediaRating': 'xx', 'media-type': 'photo', 'mediaType': 'photo', 'tariffication': {'paid': False, 'cost': 60, 'type': 'subscription_then_purchase', 'reason': 'dialogs.tariffication.reference'}, 'type': 'mediaSelling', 'preview': 'photo-ai:/dialogs/messages/{userId}/{botId}/{messageId}/preview', 'media-selling': True, 'mediaSelling': True, 'media-description': 'sends a photo of A voluptuous succubus leaning back on a velvet chaise lounge with a seductive expression, one hand resting on her thigh while the other trails down her side.', 'mediaDescription': 'sends a photo of A voluptuous succubus leaning back on a velvet chaise lounge with a seductive expression, one hand resting on her thigh while the other trails down her side.', 'edited': True}, 'reply': False, 'auto': False, 'delivered': None, 'reactions': None, 'expiration': None, 'deleted-sent-date': None, 'deletedSentDate': None, 'deleted-received-date': None, 'deletedReceivedDate': None}}
2026-04-26T17:02:45.025549     | INCOMING   | TYPE: event.ai.bots.gallery.media.updated - {'user-id': '71450258242', 'userId': '71450258242', 'bot-id': '71788504742', 'botId': '71788504742', 'media': {'dialog-media-id': 'generated-5dab0571-7388c4478308', 'dialogMediaId': 'generated-5dab0571-7388c4478308', 'media-type': 'photo', 'mediaType': 'photo', 'tariffication': {'access': False, 'reason': 'PaymentRequired', 'tariffication-type': 'subscription_then_purchase', 'tarifficationType': 'subscription_then_purchase', 'price': 60, 'paid': False}, 'links': [{'type': 's3', 'preview-links': [{'reference': '/ai/media/local?path=9ec9417b-9aa6-4614-9e1f-1bd3a9edcd6e/blur', 'width-max': 800, 'widthMax': 800, 'height-max': 800, 'heightMax': 800}], 'previewLinks': [{'reference': '/ai/media/local?path=9ec9417b-9aa6-4614-9e1f-1bd3a9edcd6e/blur', 'width-max': 800, 'widthMax': 800, 'height-max': 800, 'heightMax': 800}], 'size-links': [{'reference': '/ai/media/local?path=9ec9417b-9aa6-4614-9e1f-1bd3a9edcd6e/blur', 'width-max': 800, 'widthMax': 800, 'height-max': 1200, 'heightMax': 1200}], 'sizeLinks': [{'reference': '/ai/media/local?path=9ec9417b-9aa6-4614-9e1f-1bd3a9edcd6e/blur', 'width-max': 800, 'widthMax': 800, 'height-max': 1200, 'heightMax': 1200}]}], 'type': 'dialogsMedia'}}
2026-04-26T17:02:45.042761     | INCOMING   | TYPE: updated:message:v2 - {'id': 2428417500, 'sender': '71788504742', 'recipient': '71450258242', 'type': 1, 'timestamp': 1777240957, 'text': '*chuckles* Oh, my curious little mortal', 'tag': '8dea3df85688ef2', 'initial': True, 'status': 1, 'source': None, 'favorite': True, 'auto': False, 'meta': {'media-id': 'generated-5dab0571-7388c4478308', 'mediaId': 'generated-5dab0571-7388c4478308', 'media-type': 'photo', 'mediaType': 'photo', 'preview': 'photo-ai:/dialogs/messages/{userId}/{botId}/{messageId}/preview', 'reference': 'photo-ai:/dialogs/messages/{userId}/{botId}/{messageId}/file', 'media-links': [{'type': 's3', 'size-links': [{'reference': '/ai/media/local?path=9ec9417b-9aa6-4614-9e1f-1bd3a9edcd6e/blur', 'width-max': 800, 'widthMax': 800, 'height-max': 1200, 'heightMax': 1200}], 'sizeLinks': [{'reference': '/ai/media/local?path=9ec9417b-9aa6-4614-9e1f-1bd3a9edcd6e/blur', 'width-max': 800, 'widthMax': 800, 'height-max': 1200, 'heightMax': 1200}]}], 'mediaLinks': [{'type': 's3', 'size-links': [{'reference': '/ai/media/local?path=9ec9417b-9aa6-4614-9e1f-1bd3a9edcd6e/blur', 'width-max': 800, 'widthMax': 800, 'height-max': 1200, 'heightMax': 1200}], 'sizeLinks': [{'reference': '/ai/media/local?path=9ec9417b-9aa6-4614-9e1f-1bd3a9edcd6e/blur', 'width-max': 800, 'widthMax': 800, 'height-max': 1200, 'heightMax': 1200}]}], 'automation': {'type': 'BotAnswers', 'product': 'bot', 'bot': 'saturnBot', 'bot-version': '2.0.0', 'botVersion': '2.0.0', 'need-verification': False, 'needVerification': False}, 'ranking': {'labels': []}, 'media-rating': 'xx', 'mediaRating': 'xx', 'tariffication': {'paid': False, 'cost': 60, 'type': 'subscription_then_purchase', 'reason': 'dialogs.tariffication.reference'}, 'type': 'mediaSelling', 'media-selling': True, 'mediaSelling': True, 'media-description': 'sends a photo of A voluptuous succubus leaning back on a velvet chaise lounge with a seductive expression, one hand resting on her thigh while the other trails down her side.', 'mediaDescription': 'sends a photo of A voluptuous succubus leaning back on a velvet chaise lounge with a seductive expression, one hand resting on her thigh while the other trails down her side.', 'edited': True}}
