id,timestamp,direction,payload,markers_hit
1,test,OUTGOING,test,"[""test""]"
2,2026-04-26T11:25:26.435349,INCOMING,"{""sync"":""1777220722585"",""type"":""message:read"",""timestamp"":1777220722,""details"":{""attendee"":""61183579742""},""no"":1}","["".*""]"
3,2026-04-26T11:25:26.460858,INCOMING,"{""sync"":""1777220722587"",""type"":""staled:event"",""timestamp"":1777220722,""details"":{""event-id"":10001647090040,""eventId"":10001647090040,""holder-id"":""71450258242"",""holderId"":""71450258242"",""user-id"":""61183579742"",""userId"":""61183579742"",""type"":""message"",""stack"":0},""label"":""event.users.events.staled"",""payload"":{""event-id"":10001647090040,""eventId"":10001647090040,""holder-id"":""71450258242"",""holderId"":""71450258242"",""user-id"":""61183579742"",""userId"":""61183579742"",""type"":""message"",""stack"":0},""no"":2}","["".*""]"
4,2026-04-26T11:26:09.774375,INCOMING,"{""sync"":""1777220769727"",""type"":""message:delivery"",""timestamp"":1777220769,""details"":{""id"":0,""status"":1,""tag"":""71450258242_1777258322612""},""no"":1}","["".*""]"
5,2026-04-26T11:26:09.794424,INCOMING,"{""sync"":""1777220769730"",""type"":""event.users.experience.updated..ai"",""timestamp"":1777220769,""details"":{""user-id"":""71450258242"",""userId"":""71450258242"",""current"":{""current-points"":4290,""currentPoints"":4290,""next-level-points"":6000,""nextLevelPoints"":6000,""level"":10},""changes"":{""experience-changed"":5,""experienceChanged"":5,""level-changed"":0,""levelChanged"":0,""reason"":{""message-tag"":""71450258242_1777258322612"",""messageTag"":""71450258242_1777258322612""}}},""no"":2}","["".*""]"
6,2026-04-26T11:26:09.816367,INCOMING,"{""sync"":""1777220769727"",""type"":""message:delivery"",""timestamp"":1777220769,""details"":{""id"":2423752822,""status"":1,""tag"":""71450258242_1777258322612""},""no"":3}","["".*""]"
7,2026-04-26T11:26:09.838594,INCOMING,"{""sync"":""1777220769730"",""type"":""event.bot.typing.started"",""timestamp"":1777220769,""details"":{""bot-id"":61183579742,""botId"":61183579742,""typing-indicators"":[{""delay-before"":0,""delayBefore"":0,""duration"":3305}],""typingIndicators"":[{""delay-before"":0,""delayBefore"":0,""duration"":3305}]},""no"":4}","["".*""]"
8,2026-04-26T11:26:09.857601,INCOMING,"{""sync"":""1777220769727"",""type"":""message:message:v2"",""timestamp"":1777220769,""details"":{""id"":2423752822,""sender"":""71450258242"",""recipient"":""61183579742"",""type"":1,""timestamp"":1777220769,""text"":""so my access?"",""tag"":""71450258242_1777258322612"",""initial"":true,""status"":1,""source"":null,""favorite"":true,""auto"":false,""meta"":{""automation"":{},""ranking"":{""labels"":[],""version"":""emote_sexting_classifier@2.0.0""},""tariffication"":{""paid"":true,""type"":""purchase"",""reason"":""dialogs.tariffication.message""}}},""no"":6}","["".*""]"
9,2026-04-26T11:26:09.883428,INCOMING,"{""sync"":""1777220769728"",""type"":""event.ai.suggestions.generated"",""timestamp"":1777220769,""details"":{""user-id"":""71450258242"",""userId"":""71450258242"",""bot-id"":""61183579742"",""botId"":""61183579742"",""message-id"":2423752822,""messageId"":2423752822,""suggestions"":[],""disabled"":true},""no"":5}","["".*""]"
10,2026-04-26T11:26:09.910301,INCOMING,"{""sync"":""1777220769737"",""type"":""added:event"",""timestamp"":1777220769,""details"":{""title"":null,""event-id"":10001647090040,""eventId"":10001647090040,""holder-id"":""71450258242"",""holderId"":""71450258242"",""user-id"":""61183579742"",""userId"":""61183579742"",""type"":""message"",""stale"":true,""silent"":false,""stack"":0,""fresh"":0,""total"":2225,""timestamp"":""2026-04-26T16:26:09.723Z"",""expiration"":null,""expiration-seconds"":null,""expirationSeconds"":null,""ttl"":null,""show-expiration-from"":null,""showExpirationFrom"":null,""payload"":{""ranking"":{""labels"":[],""version"":""emote_sexting_classifier@2.0.0""},""tariffication"":{""paid"":true,""type"":""purchase"",""reason"":""dialogs.tariffication.message""}},""system"":false},""label"":""event.users.events.added"",""payload"":{""title"":null,""event-id"":10001647090040,""eventId"":10001647090040,""holder-id"":""71450258242"",""holderId"":""71450258242"",""user-id"":""61183579742"",""userId"":""61183579742"",""type"":""message"",""stale"":true,""silent"":false,""stack"":0,""fresh"":0,""total"":2225,""timestamp"":""2026-04-26T16:26:09.723Z"",""expiration"":null,""expiration-seconds"":null,""expirationSeconds"":null,""ttl"":null,""show-expiration-from"":null,""showExpirationFrom"":null,""payload"":{""id"":2423752822,""text"":""so my access?"",""tag"":""71450258242_1777258322612"",""timestamp"":""2026-04-26T16:26:09.5441341Z"",""sender-id"":""71450258242"",""senderId"":""71450258242"",""recipient-id"":""61183579742"",""recipientId"":""61183579742"",""operator-id"":null,""operatorId"":null,""sent"":true,""received"":true,""reply"":false,""auto"":false,""agent"":""webapp"",""meta"":{""ranking"":{""labels"":[],""version"":""emote_sexting_classifier@2.0.0""},""tariffication"":{""paid"":true,""type"":""purchase"",""reason"":""dialogs.tariffication.message""}},""reference"":null},""system"":false},""no"":7}","["".*""]"
